date,time,temperature (F),humidity (%),barometric_pressure (hPa),weather,wind_speed (m/s),wind_direction (°),dew_point (F),visibility (mi),cloud_cover,ceiling (ft),heat_index (F),wind_chill (F),precipitation_last_hour (in),station_elevation (ft),station_name,species_target,estimated_water_temp (F),fishing_note,pressure_trend
2025-04-01,07:53,35.06,11.320269559122105,1007.1,,0,0,33.08,9.997862483098704,,,,,,2867.45416,KBOI,"Warmwater (e.g., bass)",35.1,Cold front – slow retrieves deep.,N/A
2025-04-01,06:53,35.06,11.320269559122105,1006.8,Mostly Cloudy,0,0,33.08,9.997862483098704,BKN,,,,,2867.45416,KBOI,"Warmwater (e.g., bass)",35.1,Cold front – slow retrieves deep.,Falling
2025-04-01,05:53,33.98,11.510290304820192,1006.4,Mostly Cloudy,0,0,32.0,9.997862483098704,FEW,,,,0.0,2867.45416,KBOI,"Warmwater (e.g., bass)",34.0,Cold front – slow retrieves deep.,Falling
2025-04-01,03:53,35.96,10.771542709162144,1006.4,Light Rain,11.16,350,33.08,9.997862483098704,BKN,,,30.31089357718,0.0,2867.45416,KBOI,"Warmwater (e.g., bass)",30.4,Cold front – slow retrieves deep.,Falling
2025-04-01,02:53,37.04,10.152344229687454,1006.1,Cloudy,,,33.08,9.997862483098704,BKN,,,,0.0,2867.45416,KBOI,"Warmwater (e.g., bass)",37.0,Cold front – slow retrieves deep.,Falling
2025-04-01,02:03,35.96,10.771542709162144,1006.1,Light Rain,12.96,210,33.08,7.002853336514754,FEW,,,29.638282832166,0.0,2867.45416,KBOI,"Warmwater (e.g., bass)",29.5,Cold front – slow retrieves deep.,Falling
2025-04-01,00:53,35.06,11.320269559122105,1005.8,Cloudy,18.36,150,33.08,9.997862483098704,OVC,,,26.880398566620002,0.0,2867.45416,KBOI,"Warmwater (e.g., bass)",25.9,Cold front – slow retrieves deep.,Falling
2025-03-31,23:57,,,1006.1,Rain and Fog/Mist,18.36,210,33.08,3.001222858506323,BKN,,,,0.0,2867.45416,KBOI,"Warmwater (e.g., bass)",50.8,Cold front – slow retrieves deep.,Rising
2025-03-31,22:53,42.08,7.418297973693234,1004.8,Cloudy,14.76,140,32.0,9.997862483098704,BKN,,,36.573371916322,,2867.45416,KBOI,"Warmwater (e.g., bass)",34.7,Cold front – slow retrieves deep.,Falling
2025-03-31,21:53,42.08,7.101674543991478,1004.4,Clear,14.76,130,30.92,9.997862483098704,CLR,,,36.573371916322,,2867.45416,KBOI,"Warmwater (e.g., bass)",34.7,Cold front – slow retrieves deep.,Falling
